filename,datetime,date,time,hour,minute,Trachurus_trachurus,Trisopterus_minutus,Trisopterus_luscus,Merlangius_merlangus,total_fish
SmartBayCam2_2025-07-31_0000.png,2025-07-31 00:00:00,2025-07-31,00:00,0,0,25,0,0,0,25
SmartBayCam2_2025-07-31_0030.png,2025-07-31 00:30:00,2025-07-31,00:30,0,30,24,0,0,0,24
SmartBayCam2_2025-07-31_0100.png,2025-07-31 01:00:00,2025-07-31,01:00,1,0,39,0,0,0,39
SmartBayCam2_2025-07-31_0130.png,2025-07-31 01:30:00,2025-07-31,01:30,1,30,37,0,0,0,37
SmartBayCam2_2025-07-31_0200.png,2025-07-31 02:00:00,2025-07-31,02:00,2,0,57,0,0,0,57
SmartBayCam2_2025-07-31_0230.png,2025-07-31 02:30:00,2025-07-31,02:30,2,30,50,0,0,0,50
SmartBayCam2_2025-07-31_0300.png,2025-07-31 03:00:00,2025-07-31,03:00,3,0,18,0,0,0,18
SmartBayCam2_2025-07-31_0330.png,2025-07-31 03:30:00,2025-07-31,03:30,3,30,66,0,0,0,66
SmartBayCam2_2025-07-31_0400.png,2025-07-31 04:00:00,2025-07-31,04:00,4,0,24,0,0,0,24
SmartBayCam2_2025-07-31_0430.png,2025-07-31 04:30:00,2025-07-31,04:30,4,30,22,3,0,0,25
SmartBayCam2_2025-07-31_0500.png,2025-07-31 05:00:00,2025-07-31,05:00,5,0,27,0,0,0,27
SmartBayCam2_2025-07-31_0530.png,2025-07-31 05:30:00,2025-07-31,05:30,5,30,1,0,0,0,1
SmartBayCam2_2025-07-31_0600.png,2025-07-31 06:00:00,2025-07-31,06:00,6,0,1,1,0,0,2
SmartBayCam2_2025-07-31_0630.png,2025-07-31 06:30:00,2025-07-31,06:30,6,30,0,0,0,0,0
SmartBayCam2_2025-07-31_0700.png,2025-07-31 07:00:00,2025-07-31,07:00,7,0,0,1,0,0,1
SmartBayCam2_2025-07-31_0730.png,2025-07-31 07:30:00,2025-07-31,07:30,7,30,7,1,0,0,8
SmartBayCam2_2025-07-31_0800.png,2025-07-31 08:00:00,2025-07-31,08:00,8,0,0,4,0,0,4
SmartBayCam2_2025-07-31_0830.png,2025-07-31 08:30:00,2025-07-31,08:30,8,30,0,0,0,0,0
SmartBayCam2_2025-07-31_0900.png,2025-07-31 09:00:00,2025-07-31,09:00,9,0,0,3,1,0,4
SmartBayCam2_2025-07-31_0930.png,2025-07-31 09:30:00,2025-07-31,09:30,9,30,2,2,1,0,5
SmartBayCam2_2025-07-31_1000.png,2025-07-31 10:00:00,2025-07-31,10:00,10,0,0,8,2,0,10
SmartBayCam2_2025-07-31_1030.png,2025-07-31 10:30:00,2025-07-31,10:30,10,30,0,0,0,0,0
